team_id,team_name,short_name,team_code,country_id,country,country_code,founded_year,stadium,club_colors,website,address,coach_id,coach_name,coach_nationality,coach_birth_date,crest_url
354,Crystal Palace FC,Crystal Palace,CRY,2072,England,ENG,1905,Selhurst Park,Red / Blue,http://www.cpfc.co.uk,Whitehorse Lane London SE25 6PU,,Unknown,Unknown,,https://crests.football-data.org/354.png
263,Deportivo Alavés,Alavés,ALA,2224,Spain,ESP,1921,Estadio de Mendizorroza,Blue / White,http://www.alaves.com,"Mendizorroza, Paseo Cervantes, s/n Vitoria 01007",,Unknown,Unknown,,https://crests.football-data.org/263.png
19,Eintracht Frankfurt,Frankfurt,SGE,2088,Germany,DEU,1899,Deutsche Bank Park,Red / Black,http://www.eintracht.de,Mörfelder Landstraße 362 Frankfurt am Main 60528,,Unknown,Unknown,,https://crests.football-data.org/19.png
285,Elche CF,Elche,ELC,2224,Spain,ESP,1923,Estadio Manuel Martínez Valero,White / Green,http://www.elchecf.es,"Avenida Manuel Martínez Valero, 3 Elche 03208",,Unknown,Unknown,,https://crests.football-data.org/285.png
62,Everton FC,Everton,EVE,2072,England,ENG,1878,Goodison Park,Blue / White,http://www.evertonfc.com,Goodison Park Liverpool L4 4EL,,Unknown,Unknown,,https://crests.football-data.org/62.png
16,FC Augsburg,Augsburg,FCA,2088,Germany,DEU,1907,WWK Arena,Red / Green / White,http://www.fcaugsburg.de,Donauwörther Straße 170 Augsburg 86154,,Unknown,Unknown,,https://crests.football-data.org/16.png
81,FC Barcelona,Barça,FCB,2224,Spain,ESP,1899,Camp Nou,Red / Navy Blue / Orange,http://www.fcbarcelona.com,Avenida Arístides Maillol s/n Barcelona 08028,,Unknown,Unknown,,https://crests.football-data.org/81.png
5,FC Bayern München,Bayern,FCB,2088,Germany,DEU,1900,Allianz Arena,Red / White / Blue,http://www.fcbayern.de,Säbenerstr. 51 München 81547,,Unknown,Unknown,,https://crests.football-data.org/5.png
108,FC Internazionale Milano,Inter,INT,2114,Italy,ITA,1908,Stadio Giuseppe Meazza,Blue / Black,http://www.inter.it,Corso Vittorio Emanuele II 9 Milano 20122,,Unknown,Unknown,,https://crests.football-data.org/108.png
1876,FC København,København,KOB,2065,Denmark,DNK,1992,Telia Parken,White / Blue,http://www.fck.dk,Per Henrik Lings Allé 2 København 2100,,Unknown,Unknown,,https://crests.football-data.org/1876.png
6,FC Schalke 04,Schalke,S04,2088,Germany,DEU,1904,Veltins-Arena,Blue / White,http://www.schalke04.de,Ernst-Kuzorra-Weg 1 Gelsenkirchen 45891,,Unknown,Unknown,,https://crests.football-data.org/6.png
5721,FK Bodø/Glimt,Bodø/Glimt,FK,2173,Norway,NOR,1916,Aspmyra Stadion,Yellow / Black,http://www.glimt.no,Postboks 179 Bodø 8001,,Unknown,Unknown,,https://crests.football-data.org/5721.png
10601,FK Kairat,FK Kairat,KAI,2119,Kazakhstan,KAZ,0,Unknown Venue,Unknown,,null null null,,Unknown,Unknown,,https://crests.football-data.org/10601.png
470,Frosinone Calcio,Frosinone,FRO,2114,Italy,ITA,1912,Stadio Benito Stirpe,Yellow / Blue,http://www.frosinonecalcio.com,"Via Marittima, 2 Frosinone 03100",,Unknown,Unknown,,https://crests.football-data.org/470.png
63,Fulham FC,Fulham,FUL,2072,England,ENG,1879,Craven Cottage,White / Black,http://www.fulhamfc.com,"Craven Cottage, Stevenage Road London SW6 6HH",,Unknown,Unknown,,https://crests.football-data.org/63.png
610,Galatasaray SK,Galatasaray,GAL,2247,Turkey,TUR,1905,Türk Telekom Arena,Red / Yellow,http://www.galatasaray.org,"Türk Telekom Arena Stadyumu, Huzur Mahallesi, Şişli İstanbul 34415",,Unknown,Unknown,,https://crests.football-data.org/610.png
107,Genoa CFC,Genoa,GEN,2114,Italy,ITA,1893,Stadio Comunale Luigi Ferraris,Red / Navy Blue,http://www.genoacfc.it,"Via Ronchi, 67 Genova 16155",,Unknown,Unknown,,https://crests.football-data.org/107.png
82,Getafe CF,Getafe,GET,2224,Spain,ESP,1946,Coliseum Alfonso Pérez,Blue / White,http://www.getafecf.com,"Avenida Teresa de Calcuta, s/n Getafe 28903",,Unknown,Unknown,,https://crests.football-data.org/82.png
7,Hamburger SV,HSV,HSV,2088,Germany,DEU,1887,Volksparkstadion,White / Red / Blue,http://www.hsv.de,Sylvesterallee 7 Hamburg 22525,,Unknown,Unknown,,https://crests.football-data.org/7.png
322,Hull City AFC,Hull City,HUL,2072,England,ENG,1904,Kingston Communications Stadium,Orange / Black,http://www.hullcitytigers.com,Walton Street Hull HU3 6HU,,Unknown,Unknown,,https://crests.football-data.org/322.png
349,Ipswich Town FC,Ipswich Town,IPS,2072,England,ENG,1887,Portman Road Stadium,Blue / White,http://www.itfc.co.uk,Portman Road Ipswich IP1 2DA,,Unknown,Unknown,,https://crests.football-data.org/349.png
109,Juventus FC,Juventus,JUV,2114,Italy,ITA,1897,Allianz Stadium,White / Black,http://www.juventus.com,"Corso Galileo Ferraris, 32 Torino 10128",,Unknown,Unknown,,https://crests.football-data.org/109.png
341,Leeds United FC,Leeds United,LEE,2072,England,ENG,1904,Elland Road,White / Blue,http://www.leedsunited.com,Elland Road Leeds LS11 0ES,,Unknown,Unknown,,https://crests.football-data.org/341.png
88,Levante UD,Levante,LEV,2224,Spain,ESP,1909,Estadio Ciudad de Valencia,Crimson / Blue,http://www.levanteud.com,"Calle San Vicente de Paúl, 44 Valencia 46019",,Unknown,Unknown,,https://crests.football-data.org/88.png
64,Liverpool FC,Liverpool,LIV,2072,England,ENG,1892,Anfield,Red / White,http://www.liverpoolfc.tv,Anfield Road Liverpool L4 0TH,,Unknown,Unknown,,https://crests.football-data.org/64.png
65,Manchester City FC,Man City,MCI,2072,England,ENG,1880,Etihad Stadium,Sky Blue / White,https://www.mancity.com,SportCity Manchester M11 3FF,,Unknown,Unknown,,https://crests.football-data.org/65.png
66,Manchester United FC,Man United,MUN,2072,England,ENG,1878,Old Trafford,Red / White,http://www.manutd.com,Sir Matt Busby Way Manchester M16 0RA,,Unknown,Unknown,,https://crests.football-data.org/66.png
84,Málaga CF,Málaga,MAL,2224,Spain,ESP,1933,Estadio La Rosaleda,Blue / White,http://www.malagacf.es,"Paseo de Martiricos, s/n Málaga 29011",,Unknown,Unknown,,https://crests.football-data.org/84.png
