id,name,shortName,tla,founded,venue,clubColors,website,address,area.id,area.name,coach.name,crest
84,Málaga CF,Málaga,MAL,1933.0,Estadio La Rosaleda,Blue / White,http://www.malagacf.es,"Paseo de Martiricos, s/n Málaga 29011",2224,Spain,Unknown,https://crests.football-data.org/84.png
86,Real Madrid CF,Real Madrid,RMA,1902.0,Estadio Santiago Bernabéu,White / Purple,http://www.realmadrid.com,"Avenida Concha Espina, 1 Madrid 28036",2224,Spain,Unknown,https://crests.football-data.org/86.png
87,Rayo Vallecano de Madrid,Rayo Vallecano,RAY,1924.0,Estadio del Rayo Vallecano,White / Red,http://www.rayovallecano.es,"Calle del Payaso Fofó, s/n Madrid 28018",2224,Spain,Unknown,https://crests.football-data.org/87.png
88,Levante UD,Levante,LEV,1909.0,Estadio Ciudad de Valencia,Crimson / Blue,http://www.levanteud.com,"Calle San Vicente de Paúl, 44 Valencia 46019",2224,Spain,Unknown,https://crests.football-data.org/88.png
90,Real Betis Balompié,Real Betis,BET,1907.0,Estadio Benito Villamarín,Green / White,http://www.realbetisbalompie.es,"Avenida de Heliópolis, s/n Sevilla 41012",2224,Spain,Unknown,https://crests.football-data.org/90.png
92,Real Sociedad de Fútbol,Real Sociedad,RSO,1903.0,Estadio Municipal de Anoeta,Blue / White,http://www.realsociedad.com,"Anoeta Pasalekua, 1 San Sebastián 20014",2224,Spain,Unknown,https://crests.football-data.org/92.png
94,Villarreal CF,Villarreal,VIL,1923.0,Estadio de la Cerámica,Yellow / Blue,http://www.villarrealcf.es,"Camino Miralcamp, s/n Villarreal 12540",2224,Spain,Unknown,https://crests.football-data.org/94.png
95,Valencia CF,Valencia,VAL,1919.0,Estadio de Mestalla,White / Orange / Black,http://www.valenciacf.com,"Plaza del Valencia Club de Fútbol, 2 Valencia 46010",2224,Spain,Unknown,https://crests.football-data.org/95.png
263,Deportivo Alavés,Alavés,ALA,1921.0,Estadio de Mendizorroza,Blue / White,http://www.alaves.com,"Mendizorroza, Paseo Cervantes, s/n Vitoria 01007",2224,Spain,Unknown,https://crests.football-data.org/263.png
285,Elche CF,Elche,ELC,1923.0,Estadio Manuel Martínez Valero,White / Green,http://www.elchecf.es,"Avenida Manuel Martínez Valero, 3 Elche 03208",2224,Spain,Unknown,https://crests.football-data.org/285.png
